employee_id,job_role,department,tenure_years,monthly_income,overtime_hours,travel_frequency,job_satisfaction,manager_rating,training_hours,work_life_balance_score,remote_friendly_role,attrition,age,gender,ethnicity,marital_status,disability_status,commute_distance_km
10001,Operations,HR,0.77,4731.09,34.4,Frequent,1,5,4,3,0,0,34,Male,Other,Single,,6.0
10002,Manager,Technology,8.04,3601.76,9.2,,2,2,23,5,1,0,33,Female,Other,Widowed,,21.7
10003,HR,Consulting,7.17,4389.74,24.9,Frequent,3,5,19,3,0,1,49,Male,White,Widowed,,12.1
10004,Operations,Technology,4.56,4575.93,25.9,Occasional,4,5,36,2,0,0,62,Male,Mixed,Married,,18.4
10005,Developer,Operations,0.06,2791.37,17.2,,1,2,30,1,0,1,21,Female,Asian,Married,,5.6
10006,HR,Finance,1.19,4201.88,20.9,,1,1,46,4,0,1,64,Other,Other,Married,Other,24.9
10007,HR,Operations,2.97,1500.0,23.6,Occasional,5,5,16,1,0,0,58,Other,Asian,Widowed,,30.0
10008,Operations,Finance,0.97,4579.04,19.6,,4,1,48,4,1,1,28,Male,Mixed,Divorced,,37.4
10009,Analyst,Operations,7.21,4792.41,8.4,Occasional,5,3,23,3,0,0,37,Female,Asian,Widowed,,18.2
10010,Developer,HR,3.01,4897.06,4.1,Occasional,1,1,17,1,0,1,43,Male,Asian,Widowed,,31.2
10011,Operations,Technology,0.22,3525.94,9.9,Frequent,3,2,25,5,0,0,24,Other,Asian,Widowed,,4.7
10012,Developer,Finance,7.19,4370.86,12.7,Occasional,4,2,41,3,0,0,48,Male,White,Widowed,,9.6
10013,Developer,Consulting,9.49,5708.74,43.3,Frequent,1,2,54,2,1,1,24,Male,Mixed,Single,Mental,18.7
10014,HR,Technology,0.24,5696.52,6.0,Occasional,4,5,6,1,1,0,21,Other,Asian,Widowed,,22.2
10015,Manager,Consulting,2.28,3964.99,47.5,Frequent,3,4,42,1,1,1,25,Female,Other,Single,,10.3
10016,Developer,Technology,1.08,4167.18,57.9,Frequent,2,5,13,2,1,1,31,Other,Other,Widowed,,1.9
10017,Finance,Technology,1.5,5333.09,10.2,Frequent,5,1,40,4,0,0,39,Female,Mixed,Divorced,,6.1
10018,HR,Operations,0.59,2199.04,56.6,Frequent,5,3,48,3,0,1,40,Female,W,Divorced,,9.1
10019,Analyst,Finance,2.59,3612.31,15.3,,1,3,1,2,0,1,42,Other,Asian,Single,Mental,13.0
10020,Manager,Finance,9.51,5602.68,13.4,Occasional,1,3,29,5,0,0,53,Male,White,Married,Mental,9.7
10021,Finance,Technology,2.1,5170.24,43.3,Occasional,3,3,48,3,0,1,43,Male,Mixed,Married,,13.2
10022,Finance,HR,0.26,4443.12,20.2,Occasional,1,4,16,2,0,1,41,Other,Black,Married,Physical,18.3
10023,Analyst,HR,2.9,2193.0,18.0,Occasional,1,3,58,2,1,1,35,Female,Other,Married,,3.4
10024,Manager,Consulting,1.25,3940.11,9.8,Frequent,1,5,19,1,1,0,38,Other,Asian,Married,,15.5
10025,HR,Consulting,5.81,3292.1,10.6,,4,3,55,1,0,1,64,Male,Asian,Married,,27.9
10026,Consultant,Operations,1.71,4397.25,18.5,Occasional,4,2,9,1,0,0,22,Male,Mixed,Widowed,,11.3
10027,Manager,Technology,0.64,3028.78,43.3,Occasional,2,1,23,3,0,1,32,Female,Mixed,Single,,7.7
10028,Analyst,Consulting,0.64,2769.13,6.0,Occasional,4,5,43,4,0,0,48,Other,White,Widowed,,13.4
10029,Finance,Consulting,4.39,1522.16,16.0,Frequent,5,4,11,3,0,0,43,Male,Other,Divorced,Mental,32.4
10030,HR,Technology,0.93,5466.17,4.9,Occasional,2,5,26,1,0,0,21,Other,White,Single,Physical,14.2
10031,Manager,Operations,4.37,3520.28,9.4,Occasional,1,2,14,1,0,1,21,Other,Mixed,Single,,5.4
10032,Consultant,Consulting,0.69,4188.57,27.6,,5,3,8,3,0,0,61,Other,Other,Divorced,Physical,10.1
